Sr. No,Semester,Course Code,Course Title,Credit Hours,Grade,Grade Point,SGPA,CGPA,Warning
2,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
2,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
3,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
3,Fall 2016,CL118,Programming Fundamentals - Lab,1,B,3,2.9,2.9,0
3,Spring 2017,CL217,Computer Programming Lab,1,A-,3.67,3.51,3.21,0
3,Fall 2016,CS118,Programming Fundamentals,3,B-,2.67,2.9,2.9,0
3,Fall 2017,CS201,Data Structures,3,B+,3.33,2.73,3.05,0
3,Spring 2017,CS217,Computer Programming,3,A,4,3.51,3.21,0
3,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
3,Fall 2016,EE182,Basic Electronics,3,B-,2.67,2.9,2.9,0
3,Spring 2017,EE227,Digital Logic Design,3,A-,3.67,3.51,3.21,0
3,Spring 2017,EL227,Digital Logic Design - Lab,1,B,3,3.51,3.21,0
3,Fall 2016,MT104,Linear Algebra,3,B+,3.33,2.9,2.9,0
3,Fall 2016,MT119,Calculus and Analytical Geometry,3,C+,2.33,2.9,2.9,0
3,Spring 2017,MT224,Differential Equations (Cal II),3,B,3,3.51,3.21,0
3,Fall 2016,SL101,English Language Lab,1,B+,3.33,2.9,2.9,0
3,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
3,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
3,Fall 2016,SS101,English Language,3,B+,3.33,2.9,2.9,0
3,Spring 2017,SS111,Islamic and Religious Studies,3,B,3,3.51,3.21,0
3,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
3,Spring 2017,SS122,English Composition,3,A,4,3.51,3.21,0
3,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
3,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
4,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
4,Fall 2016,CL118,Programming Fundamentals - Lab,1,B,3,1.22,1.22,2
4,Spring 2017,CL217,Computer Programming Lab,1,C,2,1.24,1.52,2
4,Fall 2016,CS118,Programming Fundamentals,3,D,1,1.22,1.22,2
4,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
4,Spring 2017,CS217,Computer Programming,3,F,0,1.24,1.52,2
4,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
4,Spring 2017,EE182,Basic Electronics,3,D,1,1.24,1.52,2
4,Fall 2016,EE182,Basic Electronics,3,F,0,1.22,1.22,2
4,Spring 2017,EE227,Digital Logic Design,3,C,2,1.24,1.52,2
4,Spring 2017,EL227,Digital Logic Design - Lab,1,B+,3.33,1.24,1.52,2
4,Spring 2017,MT104,Linear Algebra,3,D,1,1.24,1.52,2
4,Fall 2016,MT104,Linear Algebra,3,F,0,1.22,1.22,2
4,Fall 2016,MT119,Calculus and Analytical Geometry,3,D,1,1.22,1.22,2
4,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
4,Fall 2016,SL101,English Language Lab,1,A-,3.67,1.22,1.22,2
4,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
4,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
4,Fall 2016,SS101,English Language,3,B-,2.67,1.22,1.22,2
4,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
4,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
4,Unknown,SS122,English Composition,3,UK,-1,0,0,0
4,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
4,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
5,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
5,Fall 2016,CL118,Programming Fundamentals - Lab,1,F,0,1.33,1.33,2
5,Spring 2017,CL118,Programming Fundamentals - Lab,1,C-,1.67,1.62,1.89,2
5,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
5,Fall 2016,CS118,Programming Fundamentals,3,F,0,1.33,1.33,2
5,Spring 2017,CS118,Programming Fundamentals,3,F,0,1.62,1.89,2
5,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
5,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
5,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
5,Fall 2016,EE182,Basic Electronics,3,D,1,1.33,1.33,2
5,Spring 2017,EE227,Digital Logic Design,3,C-,1.67,1.62,1.89,2
5,Spring 2017,EL227,Digital Logic Design - Lab,1,D,1,1.62,1.89,2
5,Fall 2016,MT104,Linear Algebra,3,F,0,1.33,1.33,2
5,Spring 2017,MT104,Linear Algebra,3,C-,1.67,1.62,1.89,2
5,Fall 2016,MT119,Calculus and Analytical Geometry,3,D+,1.33,1.33,1.33,2
5,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
5,Fall 2016,SL101,English Language Lab,1,A-,3.67,1.33,1.33,2
5,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
5,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
5,Fall 2016,SS101,English Language,3,A,4,1.33,1.33,2
5,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
5,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
5,Spring 2017,SS122,English Composition,3,B+,3.33,1.62,1.89,2
5,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
5,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
6,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
6,Fall 2016,CL118,Programming Fundamentals - Lab,1,L1,0,0,0,1
6,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
6,Fall 2016,CS118,Programming Fundamentals,3,L1,0,0,0,1
6,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
6,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
6,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
6,Fall 2016,EE182,Basic Electronics,3,L1,0,0,0,1
6,Unknown,EE227,Digital Logic Design,3,UK,-1,0,0,0
6,Unknown,EL227,Digital Logic Design - Lab,1,UK,-1,0,0,0
6,Fall 2016,MT104,Linear Algebra,3,L1,0,0,0,1
6,Fall 2016,MT119,Calculus and Analytical Geometry,3,L1,0,0,0,1
6,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
6,Fall 2016,SL101,English Language Lab,1,L1,0,0,0,1
6,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
6,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
6,Fall 2016,SS101,English Language,3,L1,0,0,0,1
6,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
6,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
6,Unknown,SS122,English Composition,3,UK,-1,0,0,0
6,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
6,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
7,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
7,Fall 2016,CL118,Programming Fundamentals - Lab,1,L1,0,0,0,1
7,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
7,Fall 2016,CS118,Programming Fundamentals,3,L1,0,0,0,1
7,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
7,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
7,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
7,Fall 2016,EE182,Basic Electronics,3,L1,0,0,0,1
7,Unknown,EE227,Digital Logic Design,3,UK,-1,0,0,0
7,Unknown,EL227,Digital Logic Design - Lab,1,UK,-1,0,0,0
7,Fall 2016,MT104,Linear Algebra,3,L1,0,0,0,1
7,Fall 2016,MT119,Calculus and Analytical Geometry,3,L1,0,0,0,1
7,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
7,Fall 2016,SL101,English Language Lab,1,L1,0,0,0,1
7,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
7,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
7,Fall 2016,SS101,English Language,3,L1,0,0,0,1
7,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
7,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
7,Unknown,SS122,English Composition,3,UK,-1,0,0,0
7,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
7,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
8,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
8,Fall 2016,CL118,Programming Fundamentals - Lab,1,A,4,2.37,2.37,0
8,Spring 2017,CL217,Computer Programming Lab,1,D+,1.33,1,1.69,0
8,Fall 2016,CS118,Programming Fundamentals,3,B-,2.67,2.37,2.37,0
8,Fall 2017,CS201,Data Structures,3,F,0,0.33,1.84,0
8,Spring 2017,CS217,Computer Programming,3,D,1,1,1.69,0
8,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
8,Fall 2016,EE182,Basic Electronics,3,C-,1.67,2.37,2.37,0
8,Spring 2017,EE227,Digital Logic Design,3,F,0,1,1.69,0
8,Spring 2017,EL227,Digital Logic Design - Lab,1,B-,2.67,1,1.69,0
8,Fall 2016,MT104,Linear Algebra,3,C-,1.67,2.37,2.37,0
8,Fall 2016,MT119,Calculus and Analytical Geometry,3,D+,1.33,2.37,2.37,0
8,Spring 2017,MT224,Differential Equations (Cal II),3,F,0,1,1.69,0
8,Fall 2016,SL101,English Language Lab,1,B+,3.33,2.37,2.37,0
8,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
8,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
8,Fall 2016,SS101,English Language,3,A-,3.67,2.37,2.37,0
8,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
8,Spring 2017,SS113,Pakistan Studies,3,F,0,1,1.69,0
8,Spring 2017,SS122,English Composition,3,B+,3.33,1,1.69,0
8,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
8,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
9,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
9,Fall 2016,CL118,Programming Fundamentals - Lab,1,L1,0,0,0,1
9,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
9,Fall 2016,CS118,Programming Fundamentals,3,L1,0,0,0,1
9,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
9,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
9,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
9,Fall 2016,EE182,Basic Electronics,3,L1,0,0,0,1
9,Unknown,EE227,Digital Logic Design,3,UK,-1,0,0,0
9,Unknown,EL227,Digital Logic Design - Lab,1,UK,-1,0,0,0
9,Fall 2016,MT104,Linear Algebra,3,L1,0,0,0,1
9,Fall 2016,MT119,Calculus and Analytical Geometry,3,L1,0,0,0,1
9,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
9,Fall 2016,SL101,English Language Lab,1,L1,0,0,0,1
9,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
9,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
9,Fall 2016,SS101,English Language,3,L1,0,0,0,1
9,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
9,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
9,Unknown,SS122,English Composition,3,UK,-1,0,0,0
9,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
9,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
10,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
10,Fall 2016,CL118,Programming Fundamentals - Lab,1,C-,1.67,1.22,1.22,0
10,Spring 2017,CL217,Computer Programming Lab,1,C+,2.33,2.53,1.92,0
10,Fall 2016,CS118,Programming Fundamentals,3,C-,1.67,1.22,1.22,0
10,Fall 2017,CS201,Data Structures,3,F,0,1.44,1.87,0
10,Spring 2017,CS217,Computer Programming,3,C-,1.67,2.53,1.92,0
10,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
10,Fall 2016,EE182,Basic Electronics,3,F,0,1.22,1.22,0
10,Spring 2017,EE182,Basic Electronics,3,B-,2.67,2.53,1.92,0
10,Unknown,EE227,Digital Logic Design,3,UK,-1,0,0,0
10,Unknown,EL227,Digital Logic Design - Lab,1,UK,-1,0,0,0
10,Fall 2016,MT104,Linear Algebra,3,D+,1.33,1.22,1.22,0
10,Fall 2016,MT119,Calculus and Analytical Geometry,3,D,1,1.22,1.22,0
10,Spring 2017,MT224,Differential Equations (Cal II),3,B+,3.33,2.53,1.92,0
10,Fall 2016,SL101,English Language Lab,1,D,1,1.22,1.22,0
10,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
10,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
10,Fall 2016,SS101,English Language,3,C,2,1.22,1.22,0
10,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
10,Spring 2017,SS113,Pakistan Studies,3,W,0,2.53,1.92,0
10,Unknown,SS122,English Composition,3,UK,-1,0,0,0
10,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
10,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
11,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
11,Fall 2016,CL118,Programming Fundamentals - Lab,1,A+,4,3.84,3.84,0
11,Spring 2017,CL217,Computer Programming Lab,1,A+,4,3.8,3.82,0
11,Fall 2016,CS118,Programming Fundamentals,3,A+,4,3.84,3.84,0
11,Fall 2017,CS201,Data Structures,3,A+,4,3.79,3.81,0
11,Spring 2017,CS217,Computer Programming,3,A,4,3.8,3.82,0
11,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
11,Fall 2016,EE182,Basic Electronics,3,A+,4,3.84,3.84,0
11,Spring 2017,EE227,Digital Logic Design,3,A+,4,3.8,3.82,0
11,Spring 2017,EL227,Digital Logic Design - Lab,1,A-,3.67,3.8,3.82,0
11,Fall 2016,MT104,Linear Algebra,3,A-,3.67,3.84,3.84,0
11,Fall 2016,MT119,Calculus and Analytical Geometry,3,A,4,3.84,3.84,0
11,Spring 2017,MT224,Differential Equations (Cal II),3,A+,4,3.8,3.82,0
11,Fall 2016,SL101,English Language Lab,1,B+,3.33,3.84,3.84,0
11,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
11,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
11,Fall 2016,SS101,English Language,3,A-,3.67,3.84,3.84,0
11,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
11,Spring 2017,SS113,Pakistan Studies,3,A-,3.67,3.8,3.82,0
11,Spring 2017,SS122,English Composition,3,B+,3.33,3.8,3.82,0
11,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
11,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
12,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
12,Fall 2016,CL118,Programming Fundamentals - Lab,1,F,0,1.84,1.84,0
12,Spring 2017,CL118,Programming Fundamentals - Lab,1,F,0,2.59,2.64,0
12,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
12,Fall 2016,CS118,Programming Fundamentals,3,F,0,1.84,1.84,0
12,Spring 2017,CS118,Programming Fundamentals,3,C,2,2.59,2.64,0
12,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
12,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
12,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
12,Fall 2016,EE182,Basic Electronics,3,D+,1.33,1.84,1.84,0
12,Spring 2017,EE182,Basic Electronics,3,A,4,2.59,2.64,0
12,Spring 2017,EE227,Digital Logic Design,3,C,2,2.59,2.64,0
12,Spring 2017,EL227,Digital Logic Design - Lab,1,C,2,2.59,2.64,0
12,Fall 2016,MT104,Linear Algebra,3,C+,2.33,1.84,1.84,0
12,Fall 2016,MT119,Calculus and Analytical Geometry,3,C,2,1.84,1.84,0
12,Spring 2017,MT224,Differential Equations (Cal II),3,B,3,2.59,2.64,0
12,Fall 2016,SL101,English Language Lab,1,B+,3.33,1.84,1.84,0
12,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
12,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
12,Fall 2016,SS101,English Language,3,A-,3.67,1.84,1.84,0
12,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
12,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
12,Spring 2017,SS122,English Composition,3,B,3,2.59,2.64,0
12,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
12,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
13,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
13,Fall 2016,CL118,Programming Fundamentals - Lab,1,B,3,2.92,2.92,0
13,Spring 2017,CL217,Computer Programming Lab,1,D,1,2.78,2.85,0
13,Fall 2016,CS118,Programming Fundamentals,3,C-,1.67,2.92,2.92,0
13,Fall 2017,CS201,Data Structures,3,B,3,2.75,2.82,0
13,Spring 2017,CS217,Computer Programming,3,B,3,2.78,2.85,0
13,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
13,Fall 2016,EE182,Basic Electronics,3,A,4,2.92,2.92,0
13,Spring 2017,EE227,Digital Logic Design,3,C,2,2.78,2.85,0
13,Spring 2017,EL227,Digital Logic Design - Lab,1,B+,3.33,2.78,2.85,0
13,Unknown,MT104,Linear Algebra,3,UK,-1,0,0,0
13,Fall 2016,MT119,Calculus and Analytical Geometry,3,C-,1.67,2.92,2.92,0
13,Spring 2017,MT224,Differential Equations (Cal II),3,C,2,2.78,2.85,0
13,Fall 2016,SL101,English Language Lab,1,A-,3.67,2.92,2.92,0
13,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
13,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
13,Fall 2016,SS101,English Language,3,A-,3.67,2.92,2.92,0
13,Fall 2016,SS111,Islamic and Religious Studies,3,B+,3.33,2.92,2.92,0
13,Spring 2017,SS113,Pakistan Studies,3,A,4,2.78,2.85,0
13,Spring 2017,SS122,English Composition,3,B+,3.33,2.78,2.85,0
13,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
13,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
14,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
14,Fall 2016,CL118,Programming Fundamentals - Lab,1,C,2,1.29,1.29,0
14,Spring 2017,CL118,Programming Fundamentals - Lab,1,C,2,1.92,2.1,0
14,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
14,Fall 2016,CS118,Programming Fundamentals,3,F,0,1.29,1.29,0
14,Spring 2017,CS118,Programming Fundamentals,3,C-,1.67,1.92,2.1,0
14,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
14,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
14,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
14,Fall 2016,EE182,Basic Electronics,3,F,0,1.29,1.29,0
14,Spring 2017,EE182,Basic Electronics,3,B,3,1.92,2.1,0
14,Unknown,EE227,Digital Logic Design,3,UK,-1,0,0,0
14,Unknown,EL227,Digital Logic Design - Lab,1,UK,-1,0,0,0
14,Fall 2016,MT104,Linear Algebra,3,C-,1.67,1.29,1.29,0
14,Fall 2016,MT119,Calculus and Analytical Geometry,3,D,1,1.29,1.29,0
14,Spring 2017,MT119,Calculus and Analytical Geometry,3,D,1,1.92,2.1,0
14,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
14,Fall 2016,SL101,English Language Lab,1,B,3,1.29,1.29,0
14,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
14,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
14,Fall 2016,SS101,English Language,3,B,3,1.29,1.29,0
14,Spring 2017,SS111,Islamic and Religious Studies,3,C,2,1.92,2.1,0
14,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
14,Unknown,SS122,English Composition,3,UK,-1,0,0,0
14,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
14,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
15,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
15,Fall 2016,CL118,Programming Fundamentals - Lab,1,L1,0,0,0,1
15,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
15,Fall 2016,CS118,Programming Fundamentals,3,L1,0,0,0,1
15,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
15,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
15,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
15,Fall 2016,EE182,Basic Electronics,3,L1,0,0,0,1
15,Unknown,EE227,Digital Logic Design,3,UK,-1,0,0,0
15,Unknown,EL227,Digital Logic Design - Lab,1,UK,-1,0,0,0
15,Fall 2016,MT104,Linear Algebra,3,L1,0,0,0,1
15,Fall 2016,MT119,Calculus and Analytical Geometry,3,L1,0,0,0,1
15,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
15,Fall 2016,SL101,English Language Lab,1,L1,0,0,0,1
15,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
15,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
15,Fall 2016,SS101,English Language,3,L1,0,0,0,1
15,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
15,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
15,Unknown,SS122,English Composition,3,UK,-1,0,0,0
15,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
